order_id,product,quantity,price,city
101,Laptop,1,65000,Bangalore
102,Mouse,2,1200,Delhi
103,Keyboard,3,2500,Mumbai
104,Monitor,2,14000,Pune
105,Laptop,1,72000,Hyderabad
106,Headphones,4,3500,Delhi
107,Mobile,1,45000,Chennai
108,Mouse,5,900,Bangalore
109,Tablet,2,28000,Mumbai
110,Laptop,2,58000,Delhi
111,Monitor,1,19000,Kolkata
112,Keyboard,2,1800,Chennai
113,Headphones,1,12000,Bangalore
114,Mobile,3,22000,Pune
115,Tablet,1,35000,Delhi
116,Laptop,1,89000,Mumbai
117,Mouse,3,1500,Hyderabad
118,Monitor,2,11000,Bangalore
119,Mobile,2,31000,Kolkata
120,Keyboard,4,2200,Delhi
121,Headphones,2,6500,Chennai
122,Tablet,1,42000,Bangalore
123,Laptop,3,54000,Pune
124,Mouse,10,750,Mumbai
125,Monitor,1,27000,Delhi
126,Mobile,1,68000,Hyderabad
127,Headphones,6,2100,Kolkata
128,Keyboard,1,9500,Bangalore
129,Tablet,2,19500,Chennai
130,Laptop,1,47000,Delhi
131,Mobile,4,16000,Mumbai
132,Monitor,3,8900,Pune
